	ab	abmainrel	absubrel	abtag	cd	cdmainrel	cdsubrel	cdtag	chunks	match	probe	probearr	probecorr	proberesp	trialtag	trialtype
0	0	None	None	None	1	2	6	enthusiastic:lazy	8	0	0	0	0	0	acceleration:speed::enthusiastic:lazy	CD
1	1	1	3	acceleration:speed	0	None	None	None	8	None	0	0	0	0	acceleration:speed::enthusiastic:lazy	AB
2	0	1	3	acceleration:speed	0	2	6	enthusiastic:lazy	8	0	1	2	3	['3']	acceleration:speed::enthusiastic:lazy	Probe
3	0	None	None	None	1	1	3	inflation:price	5	1	0	0	0	0	acceleration:speed::inflation:price	CD
4	1	1	3	acceleration:speed	0	None	None	None	5	None	0	0	0	0	acceleration:speed::inflation:price	AB
5	0	1	3	acceleration:speed	0	1	3	inflation:price	5	1	1	1	3	['4']	acceleration:speed::inflation:price	Probe
6	0	None	None	None	1	1	2	chair:sofa	3	0	0	0	0	0	accept:reject::chair:sofa	CD
7	1	2	4	accept:reject	0	None	None	None	3	None	0	0	0	0	accept:reject::chair:sofa	AB
8	0	2	4	accept:reject	0	1	2	chair:sofa	3	0	1	1	4	['4']	accept:reject::chair:sofa	Probe
9	0	None	None	None	1	1	3	lower:volume	1	0	0	0	0	0	accept:reject::lower:volume	CD
10	1	2	4	accept:reject	0	None	None	None	1	None	0	0	0	0	accept:reject::lower:volume	AB
11	0	2	4	accept:reject	0	1	3	lower:volume	1	0	1	2	3	['3']	accept:reject::lower:volume	Probe
12	0	None	None	None	1	3	7	germs:sickness	6	1	0	0	0	0	accident:damage::germs:sickness	CD
13	1	3	7	accident:damage	0	None	None	None	6	None	0	0	0	0	accident:damage::germs:sickness	AB
14	0	3	7	accident:damage	0	3	7	germs:sickness	6	1	1	2	4	['4']	accident:damage::germs:sickness	Probe
15	0	None	None	None	1	1	1	make:manufacture	8	0	0	0	0	0	accident:damage::make:manufacture	CD
16	1	3	7	accident:damage	0	None	None	None	8	None	0	0	0	0	accident:damage::make:manufacture	AB
17	0	3	7	accident:damage	0	1	1	make:manufacture	8	0	1	1	4	['4']	accident:damage::make:manufacture	Probe
18	0	None	None	None	1	1	2	paper:parchment	6	0	0	0	0	0	advertise:promote::paper:parchment	CD
19	1	3	9	advertise:promote	0	None	None	None	6	None	0	0	0	0	advertise:promote::paper:parchment	AB
20	0	3	9	advertise:promote	0	1	2	paper:parchment	6	0	1	2	3	['4']	advertise:promote::paper:parchment	Probe
21	0	None	None	None	1	3	9	wash:clean	8	1	0	0	0	0	advertise:promote::wash:clean	CD
22	1	3	9	advertise:promote	0	None	None	None	8	None	0	0	0	0	advertise:promote::wash:clean	AB
23	0	3	9	advertise:promote	0	3	9	wash:clean	8	1	1	1	3	['3']	advertise:promote::wash:clean	Probe
24	0	None	None	None	1	3	7	bath:cleanliness	2	0	0	0	0	0	ahead:behind::bath:cleanliness	CD
25	1	2	5	ahead:behind	0	None	None	None	2	None	0	0	0	0	ahead:behind::bath:cleanliness	AB
26	0	2	5	ahead:behind	0	3	7	bath:cleanliness	2	0	1	1	4	['4']	ahead:behind::bath:cleanliness	Probe
27	0	None	None	None	1	3	9	breathe:live	4	0	0	0	0	0	ahead:behind::breathe:live	CD
28	1	2	5	ahead:behind	0	None	None	None	4	None	0	0	0	0	ahead:behind::breathe:live	AB
29	0	2	5	ahead:behind	0	3	9	breathe:live	4	0	1	1	4	['4']	ahead:behind::breathe:live	Probe
30	0	None	None	None	1	2	5	interior:exterior	6	0	0	0	0	0	anger:yell::interior:exterior	CD
31	1	3	8	anger:yell	0	None	None	None	6	None	0	0	0	0	anger:yell::interior:exterior	AB
32	0	3	8	anger:yell	0	2	5	interior:exterior	6	0	1	2	3	['3']	anger:yell::interior:exterior	Probe
33	0	None	None	None	1	2	6	smiling:sad	8	0	0	0	0	0	anger:yell::smiling:sad	CD
34	1	3	8	anger:yell	0	None	None	None	8	None	0	0	0	0	anger:yell::smiling:sad	AB
35	0	3	8	anger:yell	0	2	6	smiling:sad	8	0	1	2	3	['3']	anger:yell::smiling:sad	Probe
36	0	None	None	None	1	2	5	ahead:behind	6	0	0	0	0	0	bath:cleanliness::ahead:behind	CD
37	1	3	7	bath:cleanliness	0	None	None	None	6	None	0	0	0	0	bath:cleanliness::ahead:behind	AB
38	0	3	7	bath:cleanliness	0	2	5	ahead:behind	6	0	1	2	3	['3']	bath:cleanliness::ahead:behind	Probe
39	0	None	None	None	1	1	2	pencil:pen	7	0	0	0	0	0	bath:cleanliness::pencil:pen	CD
40	1	3	7	bath:cleanliness	0	None	None	None	7	None	0	0	0	0	bath:cleanliness::pencil:pen	AB
41	0	3	7	bath:cleanliness	0	1	2	pencil:pen	7	0	1	1	4	['4']	bath:cleanliness::pencil:pen	Probe
42	0	None	None	None	1	1	1	run:sprint	7	0	0	0	0	0	bathe:clean::run:sprint	CD
43	1	3	9	bathe:clean	0	None	None	None	7	None	0	0	0	0	bathe:clean::run:sprint	AB
44	0	3	9	bathe:clean	0	1	1	run:sprint	7	0	1	1	4	['3']	bathe:clean::run:sprint	Probe
45	0	None	None	None	1	3	9	work:earn	5	1	0	0	0	0	bathe:clean::work:earn	CD
46	1	3	9	bathe:clean	0	None	None	None	5	None	0	0	0	0	bathe:clean::work:earn	AB
47	0	3	9	bathe:clean	0	3	9	work:earn	5	1	1	2	4	['4']	bathe:clean::work:earn	Probe
48	0	None	None	None	1	3	8	dirtiness:bathe	5	0	0	0	0	0	below:above::dirtiness:bathe	CD
49	1	2	5	below:above	0	None	None	None	5	None	0	0	0	0	below:above::dirtiness:bathe	AB
50	0	2	5	below:above	0	3	8	dirtiness:bathe	5	0	1	2	3	['3']	below:above::dirtiness:bathe	Probe
51	0	None	None	None	1	1	3	raise:salary	8	0	0	0	0	0	below:above::raise:salary	CD
52	1	2	5	below:above	0	None	None	None	8	None	0	0	0	0	below:above::raise:salary	AB
53	0	2	5	below:above	0	1	3	raise:salary	8	0	1	1	4	['4']	below:above::raise:salary	Probe
54	0	None	None	None	1	2	6	low:up	7	0	0	0	0	0	big:large::low:up	CD
55	1	1	1	big:large	0	None	None	None	7	None	0	0	0	0	big:large::low:up	AB
56	0	1	1	big:large	0	2	6	low:up	7	0	1	2	3	['3']	big:large::low:up	Probe
57	0	None	None	None	1	1	1	option:choice	6	1	0	0	0	0	big:large::option:choice	CD
58	1	1	1	big:large	0	None	None	None	6	None	0	0	0	0	big:large::option:choice	AB
59	0	1	1	big:large	0	1	1	option:choice	6	1	1	1	3	['4']	big:large::option:choice	Probe
60	0	None	None	None	1	2	4	difficult:easy	2	1	0	0	0	0	big:small::difficult:easy	CD
61	1	2	4	big:small	0	None	None	None	2	None	0	0	0	0	big:small::difficult:easy	AB
62	0	2	4	big:small	0	2	4	difficult:easy	2	1	1	1	3	['3']	big:small::difficult:easy	Probe
63	0	None	None	None	1	2	4	dirty:clean	4	1	0	0	0	0	big:small::dirty:clean	CD
64	1	2	4	big:small	0	None	None	None	4	None	0	0	0	0	big:small::dirty:clean	AB
65	0	2	4	big:small	0	2	4	dirty:clean	4	1	1	2	4	['4']	big:small::dirty:clean	Probe
66	0	None	None	None	1	2	4	pretty:ugly	3	1	0	0	0	0	black:white::pretty:ugly	CD
67	1	2	4	black:white	0	None	None	None	3	None	0	0	0	0	black:white::pretty:ugly	AB
68	0	2	4	black:white	0	2	4	pretty:ugly	3	1	1	2	4	['4']	black:white::pretty:ugly	Probe
69	0	None	None	None	1	1	3	terror:fear	1	0	0	0	0	0	black:white::terror:fear	CD
70	1	2	4	black:white	0	None	None	None	1	None	0	0	0	0	black:white::terror:fear	AB
71	0	2	4	black:white	0	1	3	terror:fear	1	0	1	2	3	['3']	black:white::terror:fear	Probe
72	0	None	None	None	1	1	1	big:large	1	1	0	0	0	0	boat:ship::big:large	CD
73	1	1	1	boat:ship	0	None	None	None	1	None	0	0	0	0	boat:ship::big:large	AB
74	0	1	1	boat:ship	0	1	1	big:large	1	1	1	1	3	['3']	boat:ship::big:large	Probe
75	0	None	None	None	1	1	1	pants:trousers	3	1	0	0	0	0	boat:ship::pants:trousers	CD
76	1	1	1	boat:ship	0	None	None	None	3	None	0	0	0	0	boat:ship::pants:trousers	AB
77	0	1	1	boat:ship	0	1	1	pants:trousers	3	1	1	2	4	['4']	boat:ship::pants:trousers	Probe
78	0	None	None	None	1	3	9	exercise:healthy	7	0	0	0	0	0	book:magazine::exercise:healthy	CD
79	1	1	2	book:magazine	0	None	None	None	7	None	0	0	0	0	book:magazine::exercise:healthy	AB
80	0	1	2	book:magazine	0	3	9	exercise:healthy	7	0	1	1	4	['4']	book:magazine::exercise:healthy	Probe
81	0	None	None	None	1	1	2	ladder:stairs	5	1	0	0	0	0	book:magazine::ladder:stairs	CD
82	1	1	2	book:magazine	0	None	None	None	5	None	0	0	0	0	book:magazine::ladder:stairs	AB
83	0	1	2	book:magazine	0	1	2	ladder:stairs	5	1	1	2	4	['4']	book:magazine::ladder:stairs	Probe
84	0	None	None	None	1	2	5	forward:backward	8	0	0	0	0	0	breathe:live::forward:backward	CD
85	1	3	9	breathe:live	0	None	None	None	8	None	0	0	0	0	breathe:live::forward:backward	AB
86	0	3	9	breathe:live	0	2	5	forward:backward	8	0	1	1	4	['4']	breathe:live::forward:backward	Probe
87	0	None	None	None	1	2	4	good:bad	6	0	0	0	0	0	breathe:live::good:bad	CD
88	1	3	9	breathe:live	0	None	None	None	6	None	0	0	0	0	breathe:live::good:bad	AB
89	0	3	9	breathe:live	0	2	4	good:bad	6	0	1	1	4	['4']	breathe:live::good:bad	Probe
90	0	None	None	None	1	1	1	cute:adorable	7	0	0	0	0	0	bright:dark::cute:adorable	CD
91	1	2	4	bright:dark	0	None	None	None	7	None	0	0	0	0	bright:dark::cute:adorable	AB
92	0	2	4	bright:dark	0	1	1	cute:adorable	7	0	1	2	3	['3']	bright:dark::cute:adorable	Probe
93	0	None	None	None	1	2	4	fat:thin	5	1	0	0	0	0	bright:dark::fat:thin	CD
94	1	2	4	bright:dark	0	None	None	None	5	None	0	0	0	0	bright:dark::fat:thin	AB
95	0	2	4	bright:dark	0	2	4	fat:thin	5	1	1	2	4	['4']	bright:dark::fat:thin	Probe
96	0	None	None	None	1	2	6	day:evening	5	1	0	0	0	0	bright:dull::day:evening	CD
97	1	2	6	bright:dull	0	None	None	None	5	None	0	0	0	0	bright:dull::day:evening	AB
98	0	2	6	bright:dull	0	2	6	day:evening	5	1	1	2	4	['4']	bright:dull::day:evening	Probe
99	0	None	None	None	1	1	2	ladder:stairs	7	0	0	0	0	0	bright:dull::ladder:stairs	CD
100	1	2	6	bright:dull	0	None	None	None	7	None	0	0	0	0	bright:dull::ladder:stairs	AB
101	0	2	6	bright:dull	0	1	2	ladder:stairs	7	0	1	1	4	['4']	bright:dull::ladder:stairs	Probe
102	0	None	None	None	1	3	9	drink:hydrate	6	1	0	0	0	0	burnish:shine::drink:hydrate	CD
103	1	3	9	burnish:shine	0	None	None	None	6	None	0	0	0	0	burnish:shine::drink:hydrate	AB
104	0	3	9	burnish:shine	0	3	9	drink:hydrate	6	1	1	2	4	['4']	burnish:shine::drink:hydrate	Probe
105	0	None	None	None	1	3	9	trim:shorten	8	1	0	0	0	0	burnish:shine::trim:shorten	CD
106	1	3	9	burnish:shine	0	None	None	None	8	None	0	0	0	0	burnish:shine::trim:shorten	AB
107	0	3	9	burnish:shine	0	3	9	trim:shorten	8	1	1	1	3	['3']	burnish:shine::trim:shorten	Probe
108	0	None	None	None	1	2	5	rise:sink	8	0	0	0	0	0	car:auto::rise:sink	CD
109	1	1	1	car:auto	0	None	None	None	8	None	0	0	0	0	car:auto::rise:sink	AB
110	0	1	1	car:auto	0	2	5	rise:sink	8	0	1	2	3	['3']	car:auto::rise:sink	Probe
111	0	None	None	None	1	2	5	top:bottom	5	0	0	0	0	0	car:auto::top:bottom	CD
112	1	1	1	car:auto	0	None	None	None	5	None	0	0	0	0	car:auto::top:bottom	AB
113	0	1	1	car:auto	0	2	5	top:bottom	5	0	1	2	3	['3']	car:auto::top:bottom	Probe
114	0	None	None	None	1	3	7	explosion:damage	8	0	0	0	0	0	careful:cautious::explosion:damage	CD
115	1	1	1	careful:cautious	0	None	None	None	8	None	0	0	0	0	careful:cautious::explosion:damage	AB
116	0	1	1	careful:cautious	0	3	7	explosion:damage	8	0	1	2	3	['3']	careful:cautious::explosion:damage	Probe
117	0	None	None	None	1	3	7	heater:warmth	6	0	0	0	0	0	careful:cautious::heater:warmth	CD
118	1	1	1	careful:cautious	0	None	None	None	6	None	0	0	0	0	careful:cautious::heater:warmth	AB
119	0	1	1	careful:cautious	0	3	7	heater:warmth	6	0	1	2	3	['3']	careful:cautious::heater:warmth	Probe
120	0	None	None	None	1	2	5	east:west	7	0	0	0	0	0	chair:sofa::east:west	CD
121	1	1	2	chair:sofa	0	None	None	None	7	None	0	0	0	0	chair:sofa::east:west	AB
122	0	1	2	chair:sofa	0	2	5	east:west	7	0	1	2	3	['3']	chair:sofa::east:west	Probe
123	0	None	None	None	1	1	2	pencil:pen	5	1	0	0	0	0	chair:sofa::pencil:pen	CD
124	1	1	2	chair:sofa	0	None	None	None	5	None	0	0	0	0	chair:sofa::pencil:pen	AB
125	0	1	2	chair:sofa	0	1	2	pencil:pen	5	1	1	1	3	['3']	chair:sofa::pencil:pen	Probe
126	0	None	None	None	1	1	1	pretty:beautiful	5	0	0	0	0	0	climb:descend::pretty:beautiful	CD
127	1	2	5	climb:descend	0	None	None	None	5	None	0	0	0	0	climb:descend::pretty:beautiful	AB
128	0	2	5	climb:descend	0	1	1	pretty:beautiful	5	0	1	2	3	['3']	climb:descend::pretty:beautiful	Probe
129	0	None	None	None	1	3	9	work:earn	8	0	0	0	0	0	climb:descend::work:earn	CD
130	1	2	5	climb:descend	0	None	None	None	8	None	0	0	0	0	climb:descend::work:earn	AB
131	0	2	5	climb:descend	0	3	9	work:earn	8	0	1	2	3	['3']	climb:descend::work:earn	Probe
132	0	None	None	None	1	1	1	couch:sofa	6	0	0	0	0	0	coldness:shiver::couch:sofa	CD
133	1	3	8	coldness:shiver	0	None	None	None	6	None	0	0	0	0	coldness:shiver::couch:sofa	AB
134	0	3	8	coldness:shiver	0	1	1	couch:sofa	6	0	1	1	4	['4']	coldness:shiver::couch:sofa	Probe
135	0	None	None	None	1	1	2	sword:knife	7	0	0	0	0	0	coldness:shiver::sword:knife	CD
136	1	3	8	coldness:shiver	0	None	None	None	7	None	0	0	0	0	coldness:shiver::sword:knife	AB
137	0	3	8	coldness:shiver	0	1	2	sword:knife	7	0	1	1	4	['4']	coldness:shiver::sword:knife	Probe
138	0	None	None	None	1	2	6	day:evening	8	0	0	0	0	0	cook:eat::day:evening	CD
139	1	3	9	cook:eat	0	None	None	None	8	None	0	0	0	0	cook:eat::day:evening	AB
140	0	3	9	cook:eat	0	2	6	day:evening	8	0	1	1	4	['4']	cook:eat::day:evening	Probe
141	0	None	None	None	1	3	9	exercise:healthy	6	1	0	0	0	0	cook:eat::exercise:healthy	CD
142	1	3	9	cook:eat	0	None	None	None	6	None	0	0	0	0	cook:eat::exercise:healthy	AB
143	0	3	9	cook:eat	0	3	9	exercise:healthy	6	1	1	2	4	['4']	cook:eat::exercise:healthy	Probe
144	0	None	None	None	1	3	7	exercise:fitness	4	0	0	0	0	0	couch:sofa::exercise:fitness	CD
145	1	1	1	couch:sofa	0	None	None	None	4	None	0	0	0	0	couch:sofa::exercise:fitness	AB
146	0	1	1	couch:sofa	0	3	7	exercise:fitness	4	0	1	1	4	['3']	couch:sofa::exercise:fitness	Probe
147	0	None	None	None	1	1	1	kid:child	2	1	0	0	0	0	couch:sofa::kid:child	CD
148	1	1	1	couch:sofa	0	None	None	None	2	None	0	0	0	0	couch:sofa::kid:child	AB
149	0	1	1	couch:sofa	0	1	1	kid:child	2	1	1	2	4	['4']	couch:sofa::kid:child	Probe
150	0	None	None	None	1	3	9	burnish:shine	1	0	0	0	0	0	cute:adorable::burnish:shine	CD
151	1	1	1	cute:adorable	0	None	None	None	1	None	0	0	0	0	cute:adorable::burnish:shine	AB
152	0	1	1	cute:adorable	0	3	9	burnish:shine	1	0	1	2	3	['4']	cute:adorable::burnish:shine	Probe
153	0	None	None	None	1	1	1	raise:elevate	4	1	0	0	0	0	cute:adorable::raise:elevate	CD
154	1	1	1	cute:adorable	0	None	None	None	4	None	0	0	0	0	cute:adorable::raise:elevate	AB
155	0	1	1	cute:adorable	0	1	1	raise:elevate	4	1	1	1	3	['3']	cute:adorable::raise:elevate	Probe
156	0	None	None	None	1	1	3	force:pressure	5	0	0	0	0	0	danger:flee::force:pressure	CD
157	1	3	8	danger:flee	0	None	None	None	5	None	0	0	0	0	danger:flee::force:pressure	AB
158	0	3	8	danger:flee	0	1	3	force:pressure	5	0	1	1	4	['4']	danger:flee::force:pressure	Probe
159	0	None	None	None	1	2	5	in:out	8	0	0	0	0	0	danger:flee::in:out	CD
160	1	3	8	danger:flee	0	None	None	None	8	None	0	0	0	0	danger:flee::in:out	AB
161	0	3	8	danger:flee	0	2	5	in:out	8	0	1	2	3	['3']	danger:flee::in:out	Probe
162	0	None	None	None	1	2	4	big:small	5	1	0	0	0	0	dark:light::big:small	CD
163	1	2	4	dark:light	0	None	None	None	5	None	0	0	0	0	dark:light::big:small	AB
164	0	2	4	dark:light	0	2	4	big:small	5	1	1	2	4	['4']	dark:light::big:small	Probe
165	0	None	None	None	1	1	2	hill:mountain	7	0	0	0	0	0	dark:light::hill:mountain	CD
166	1	2	4	dark:light	0	None	None	None	7	None	0	0	0	0	dark:light::hill:mountain	AB
167	0	2	4	dark:light	0	1	2	hill:mountain	7	0	1	1	4	['4']	dark:light::hill:mountain	Probe
168	0	None	None	None	1	1	3	soften:voice	1	1	0	0	0	0	darken:color::soften:voice	CD
169	1	1	3	darken:color	0	None	None	None	1	None	0	0	0	0	darken:color::soften:voice	AB
170	0	1	3	darken:color	0	1	3	soften:voice	1	1	1	2	4	['4']	darken:color::soften:voice	Probe
171	0	None	None	None	1	1	3	terror:fear	4	1	0	0	0	0	darken:color::terror:fear	CD
172	1	1	3	darken:color	0	None	None	None	4	None	0	0	0	0	darken:color::terror:fear	AB
173	0	1	3	darken:color	0	1	3	terror:fear	4	1	1	1	3	['4']	darken:color::terror:fear	Probe
174	0	None	None	None	1	3	8	happiness:smile	3	0	0	0	0	0	day:evening::happiness:smile	CD
175	1	2	6	day:evening	0	None	None	None	3	None	0	0	0	0	day:evening::happiness:smile	AB
176	0	2	6	day:evening	0	3	8	happiness:smile	3	0	1	1	4	['4']	day:evening::happiness:smile	Probe
177	0	None	None	None	1	3	9	speak:express	1	0	0	0	0	0	day:evening::speak:express	CD
178	1	2	6	day:evening	0	None	None	None	1	None	0	0	0	0	day:evening::speak:express	AB
179	0	2	6	day:evening	0	3	9	speak:express	1	0	1	1	4	['4']	day:evening::speak:express	Probe
180	0	None	None	None	1	1	3	flood:water	3	1	0	0	0	0	death:population::flood:water	CD
181	1	1	3	death:population	0	None	None	None	3	None	0	0	0	0	death:population::flood:water	AB
182	0	1	3	death:population	0	1	3	flood:water	3	1	1	1	3	None	death:population::flood:water	Probe
183	0	None	None	None	1	2	5	start:finish	2	0	0	0	0	0	death:population::start:finish	CD
184	1	1	3	death:population	0	None	None	None	2	None	0	0	0	0	death:population::start:finish	AB
185	0	1	3	death:population	0	2	5	start:finish	2	0	1	1	4	['4']	death:population::start:finish	Probe
186	0	None	None	None	1	1	3	inflation:price	8	0	0	0	0	0	difficult:easy::inflation:price	CD
187	1	2	4	difficult:easy	0	None	None	None	8	None	0	0	0	0	difficult:easy::inflation:price	AB
188	0	2	4	difficult:easy	0	1	3	inflation:price	8	0	1	2	3	['3']	difficult:easy::inflation:price	Probe
189	0	None	None	None	1	2	4	warm:cool	6	1	0	0	0	0	difficult:easy::warm:cool	CD
190	1	2	4	difficult:easy	0	None	None	None	6	None	0	0	0	0	difficult:easy::warm:cool	AB
191	0	2	4	difficult:easy	0	2	4	warm:cool	6	1	1	1	3	['3']	difficult:easy::warm:cool	Probe
192	0	None	None	None	1	3	8	coldness:shiver	3	0	0	0	0	0	dim:light::coldness:shiver	CD
193	1	1	3	dim:light	0	None	None	None	3	None	0	0	0	0	dim:light::coldness:shiver	AB
194	0	1	3	dim:light	0	3	8	coldness:shiver	3	0	1	1	4	['4']	dim:light::coldness:shiver	Probe
195	0	None	None	None	1	3	7	joke:laughter	1	0	0	0	0	0	dim:light::joke:laughter	CD
196	1	1	3	dim:light	0	None	None	None	1	None	0	0	0	0	dim:light::joke:laughter	AB
197	0	1	3	dim:light	0	3	7	joke:laughter	1	0	1	2	3	['3']	dim:light::joke:laughter	Probe
198	0	None	None	None	1	2	5	front:back	1	0	0	0	0	0	dirtiness:bathe::front:back	CD
199	1	3	8	dirtiness:bathe	0	None	None	None	1	None	0	0	0	0	dirtiness:bathe::front:back	AB
200	0	3	8	dirtiness:bathe	0	2	5	front:back	1	0	1	1	4	['4']	dirtiness:bathe::front:back	Probe
201	0	None	None	None	1	3	8	hunger:eat	4	1	0	0	0	0	dirtiness:bathe::hunger:eat	CD
202	1	3	8	dirtiness:bathe	0	None	None	None	4	None	0	0	0	0	dirtiness:bathe::hunger:eat	AB
203	0	3	8	dirtiness:bathe	0	3	8	hunger:eat	4	1	1	1	3	['3']	dirtiness:bathe::hunger:eat	Probe
204	0	None	None	None	1	3	8	thirst:drink	7	1	0	0	0	0	dirty:bathe::thirst:drink	CD
205	1	3	8	dirty:bathe	0	None	None	None	7	None	0	0	0	0	dirty:bathe::thirst:drink	AB
206	0	3	8	dirty:bathe	0	3	8	thirst:drink	7	1	1	2	4	['3']	dirty:bathe::thirst:drink	Probe
207	0	None	None	None	1	3	8	thirsty:drink	5	1	0	0	0	0	dirty:bathe::thirsty:drink	CD
208	1	3	8	dirty:bathe	0	None	None	None	5	None	0	0	0	0	dirty:bathe::thirsty:drink	AB
209	0	3	8	dirty:bathe	0	3	8	thirsty:drink	5	1	1	1	3	['3']	dirty:bathe::thirsty:drink	Probe
210	0	None	None	None	1	1	3	darken:color	6	0	0	0	0	0	dirty:clean::darken:color	CD
211	1	2	4	dirty:clean	0	None	None	None	6	None	0	0	0	0	dirty:clean::darken:color	AB
212	0	2	4	dirty:clean	0	1	3	darken:color	6	0	1	2	3	['3']	dirty:clean::darken:color	Probe
213	0	None	None	None	1	3	8	thirsty:drink	8	0	0	0	0	0	dirty:clean::thirsty:drink	CD
214	1	2	4	dirty:clean	0	None	None	None	8	None	0	0	0	0	dirty:clean::thirsty:drink	AB
