TrialTag,ABTag,CDTag,ABMainRel,CDMainRel,ABSubRel,CDSubRel,ProbeCorr,ProbeArr,AB,CD,Probe
accident:damage::make:manufacture,accident:damage,make:manufacture,3,1,7,1,l,1,0,0,1
bathe:clean::run:sprint,bathe:clean,run:sprint,3,1,9,1,a,2,0,0,1
big:large::option:choice,big:large,option:choice,1,1,1,1,a,1,0,0,1
boat:ship::big:large,boat:ship,big:large,1,1,1,1,a,1,0,0,1
boat:ship::pants:trousers,boat:ship,pants:trousers,1,1,1,1,a,1,0,0,1
bright:dark::cute:adorable,bright:dark,cute:adorable,2,1,4,1,a,2,0,0,1
climb:descend::pretty:beautiful,climb:descend,pretty:beautiful,2,1,5,1,a,2,0,0,1
coldness:shiver::couch:sofa,coldness:shiver,couch:sofa,3,1,8,1,l,1,0,0,1
couch:sofa::kid:child,couch:sofa,kid:child,1,1,1,1,l,2,0,0,1
cute:adorable::raise:elevate,cute:adorable,raise:elevate,1,1,1,1,a,1,0,0,1
drink:hydrate::house:home,drink:hydrate,house:home,3,1,9,1,a,2,0,0,1
east:west::car:auto,east:west,car:auto,2,1,5,1,l,1,0,0,1
fat:thin::kid:child,fat:thin,kid:child,2,1,4,1,a,2,0,0,1
heat:sweat::boat:ship,heat:sweat,boat:ship,3,1,8,1,l,1,0,0,1
high:down::option:choice,high:down,option:choice,2,1,6,1,a,2,0,0,1
house:home::boat:ship,house:home,boat:ship,1,1,1,1,a,1,0,0,1
house:home::run:sprint,house:home,run:sprint,1,1,1,1,l,2,0,0,1
kid:child::couch:sofa,kid:child,couch:sofa,1,1,1,1,l,2,0,0,1
kid:child::make:manufacture,kid:child,make:manufacture,1,1,1,1,a,1,0,0,1
option:choice::careful:cautious,option:choice,careful:cautious,1,1,1,1,l,2,0,0,1
pants:trousers::spin:twirl,pants:trousers,spin:twirl,1,1,1,1,l,2,0,0,1
pretty:beautiful::car:auto,pretty:beautiful,car:auto,1,1,1,1,a,1,0,0,1
pretty:beautiful::teach:instruct,pretty:beautiful,teach:instruct,1,1,1,1,l,2,0,0,1
pretty:ugly::spin:twirl,pretty:ugly,spin:twirl,2,1,4,1,a,2,0,0,1
raise:elevate::cute:adorable,raise:elevate,cute:adorable,1,1,1,1,l,2,0,0,1
raise:elevate::pretty:beautiful,raise:elevate,pretty:beautiful,1,1,1,1,a,1,0,0,1
sickness:medicate::raise:elevate,sickness:medicate,raise:elevate,3,1,8,1,a,2,0,0,1
spin:twirl::house:home,spin:twirl,house:home,1,1,1,1,a,1,0,0,1
tiredness:rest::big:large,tiredness:rest,big:large,3,1,8,1,l,1,0,0,1
top:bottom::pants:trousers,top:bottom,pants:trousers,2,1,5,1,a,2,0,0,1
top:bottom::teach:instruct,top:bottom,teach:instruct,2,1,5,1,a,2,0,0,1
wash:clean::careful:cautious,wash:clean,careful:cautious,3,1,9,1,a,2,0,0,1
accept:reject::chair:sofa,accept:reject,chair:sofa,2,1,4,2,l,1,0,0,1
advertise:promote::paper:parchment,advertise:promote,paper:parchment,3,1,9,2,a,2,0,0,1
bath:cleanliness::pencil:pen,bath:cleanliness,pencil:pen,3,1,7,2,a,2,0,0,1
book:magazine::ladder:stairs,book:magazine,ladder:stairs,1,1,2,2,l,2,0,0,1
bright:dull::ladder:stairs,bright:dull,ladder:stairs,2,1,6,2,a,2,0,0,1
chair:sofa::pencil:pen,chair:sofa,pencil:pen,1,1,2,2,a,1,0,0,1
coldness:shiver::sword:knife,coldness:shiver,sword:knife,3,1,8,2,a,2,0,0,1
dark:light::hill:mountain,dark:light,hill:mountain,2,1,4,2,l,1,0,0,1
exercise:fitness::pillow:cushion,exercise:fitness,pillow:cushion,3,1,7,2,a,2,0,0,1
explosion:damage::book:magazine,explosion:damage,book:magazine,3,1,7,2,l,1,0,0,1
fence:hedge::hill:mountain,fence:hedge,hill:mountain,1,1,2,2,a,1,0,0,1
fence:hedge::paper:parchment,fence:hedge,paper:parchment,1,1,2,2,l,2,0,0,1
front:back::wagon:trailer,front:back,wagon:trailer,2,1,5,2,l,1,0,0,1
house:tent::book:magazine,house:tent,book:magazine,1,1,2,2,a,1,0,0,1
ladder:stairs::table:desk,ladder:stairs,table:desk,1,1,2,2,a,1,0,0,1
loud:discreet::picture:drawing,loud:discreet,picture:drawing,2,1,6,2,a,2,0,0,1
majority:small::house:tent,majority:small,house:tent,2,1,6,2,l,1,0,0,1
paper:parchment::chair:sofa,paper:parchment,chair:sofa,1,1,2,2,a,1,0,0,1
paper:parchment::shovel:spoon,paper:parchment,shovel:spoon,1,1,2,2,l,2,0,0,1
pencil:pen::fence:hedge,pencil:pen,fence:hedge,1,1,2,2,a,1,0,0,1
picture:drawing::pillow:cushion,picture:drawing,pillow:cushion,1,1,2,2,l,2,0,0,1
picture:drawing::sword:knife,picture:drawing,sword:knife,1,1,2,2,a,1,0,0,1
pillow:cushion::rake:fork,pillow:cushion,rake:fork,1,1,2,2,l,2,0,0,1
powerful:meek::rake:fork,powerful:meek,rake:fork,2,1,6,2,l,1,0,0,1
rake:fork::house:tent,rake:fork,house:tent,1,1,2,2,a,1,0,0,1
rise:sink::shovel:spoon,rise:sink,shovel:spoon,2,1,5,2,a,2,0,0,1
sadness:cry::table:desk,sadness:cry,table:desk,3,1,8,2,a,2,0,0,1
table:desk::wagon:trailer,table:desk,wagon:trailer,1,1,2,2,a,1,0,0,1
thirsty:drink::fence:hedge,thirsty:drink,fence:hedge,3,1,8,2,a,2,0,0,1
wagon:trailer::picture:drawing,wagon:trailer,picture:drawing,1,1,2,2,l,2,0,0,1
wagon:trailer::stairs:ladder,wagon:trailer,stairs:ladder,1,1,2,2,a,1,0,0,1
work:earn::stairs:ladder,work:earn,stairs:ladder,3,1,9,2,a,2,0,0,1
acceleration:speed::inflation:price,acceleration:speed,inflation:price,1,1,3,3,a,1,0,0,1
accept:reject::lower:volume,accept:reject,lower:volume,2,1,4,3,l,1,0,0,1
below:above::raise:salary,below:above,raise:salary,2,1,5,3,a,2,0,0,1
black:white::terror:fear,black:white,terror:fear,2,1,4,3,a,2,0,0,1
danger:flee::force:pressure,danger:flee,force:pressure,3,1,8,3,a,2,0,0,1
darken:color::soften:voice,darken:color,soften:voice,1,1,3,3,l,2,0,0,1
darken:color::terror:fear,darken:color,terror:fear,1,1,3,3,a,1,0,0,1
death:population::flood:water,death:population,flood:water,1,1,3,3,l,2,0,0,1
difficult:easy::inflation:price,difficult:easy,inflation:price,2,1,4,3,a,2,0,0,1
dirty:clean::darken:color,dirty:clean,darken:color,2,1,4,3,a,2,0,0,1
discount:price::heat:temperature,discount:price,heat:temperature,1,1,3,3,a,1,0,0,1
disease:sickness::flood:water,disease:sickness,flood:water,3,1,7,3,l,1,0,0,1
fire:burns::dim:light,fire:burns,dim:light,3,1,7,3,a,2,0,0,1
flee:escape::soften:voice,flee:escape,soften:voice,3,1,9,3,a,2,0,0,1
flood:water::death:population,flood:water,death:population,1,1,3,3,l,2,0,0,1
force:pressure::acceleration:speed,force:pressure,acceleration:speed,1,1,3,3,a,1,0,0,1
force:pressure::speed:movement,force:pressure,speed:movement,1,1,3,3,l,2,0,0,1
germs:sickness::acceleration:speed,germs:sickness,acceleration:speed,3,1,7,3,a,2,0,0,1
good:bad::shorten:distance,good:bad,shorten:distance,2,1,4,3,l,1,0,0,1
high:down::discount:price,high:down,discount:price,2,1,6,3,l,1,0,0,1
ignite:burn::speed:movement,ignite:burn,speed:movement,3,1,9,3,a,2,0,0,1
injury:pain::death:population,injury:pain,death:population,3,1,7,3,a,2,0,0,1
joke:laughter::rise:tide,joke:laughter,rise:tide,3,1,7,3,a,2,0,0,1
just:unfair::heat:temperature,just:unfair,heat:temperature,2,1,6,3,l,1,0,0,1
lower:volume::discount:price,lower:volume,discount:price,1,1,3,3,l,2,0,0,1
raise:salary::lower:volume,raise:salary,lower:volume,1,1,3,3,l,2,0,0,1
raise:salary::shorten:distance,raise:salary,shorten:distance,1,1,3,3,l,2,0,0,1
shorten:distance::force:pressure,shorten:distance,force:pressure,1,1,3,3,a,1,0,0,1
soften:voice::darken:color,soften:voice,darken:color,1,1,3,3,l,2,0,0,1
speed:movement::raise:salary,speed:movement,raise:salary,1,1,3,3,a,1,0,0,1
terror:fear::dim:light,terror:fear,dim:light,1,1,3,3,a,1,0,0,1
terror:fear::rise:tide,terror:fear,rise:tide,1,1,3,3,a,1,0,0,1
big:small::difficult:easy,big:small,difficult:easy,2,2,4,4,a,1,0,0,1
big:small::dirty:clean,big:small,dirty:clean,2,2,4,4,a,1,0,0,1
black:white::pretty:ugly,black:white,pretty:ugly,2,2,4,4,l,2,0,0,1
breathe:live::good:bad,breathe:live,good:bad,3,2,9,4,a,2,0,0,1
bright:dark::fat:thin,bright:dark,fat:thin,2,2,4,4,a,1,0,0,1
dark:light::big:small,dark:light,big:small,2,2,4,4,l,2,0,0,1
difficult:easy::warm:cool,difficult:easy,warm:cool,2,2,4,4,a,1,0,0,1
fast:slow::bright:dark,fast:slow,bright:dark,2,2,4,4,l,2,0,0,1
good:bad::tall:short,good:bad,tall:short,2,2,4,4,a,1,0,0,1
happiness:smile::accept:reject,happiness:smile,accept:reject,3,2,8,4,a,2,0,0,1
hot:cold::accept:reject,hot:cold,accept:reject,2,2,4,4,a,1,0,0,1
hot:cold::old:young,hot:cold,old:young,2,2,4,4,a,1,0,0,1
house:tent::tall:short,house:tent,tall:short,1,2,2,4,a,2,0,0,1
make:manufacture::difficult:easy,make:manufacture,difficult:easy,1,2,1,4,l,1,0,0,1
old:young::dark:light,old:young,dark:light,2,2,4,4,a,1,0,0,1
old:young::rich:poor,old:young,rich:poor,2,2,4,4,l,2,0,0,1
pillow:cushion::pretty:ugly,pillow:cushion,pretty:ugly,1,2,2,4,l,1,0,0,1
pretty:ugly::good:bad,pretty:ugly,good:bad,2,2,4,4,l,2,0,0,1
rich:poor::fast:slow,rich:poor,fast:slow,2,2,4,4,a,1,0,0,1
rise:tide::dirty:clean,rise:tide,dirty:clean,1,2,3,4,l,1,0,0,1
sadness:cry::hot:cold,sadness:cry,hot:cold,3,2,8,4,l,1,0,0,1
shorten:distance::fast:slow,shorten:distance,fast:slow,1,2,3,4,a,2,0,0,1
shovel:spoon::black:white,shovel:spoon,black:white,1,2,2,4,l,1,0,0,1
sleep:rest::bright:dark,sleep:rest,bright:dark,3,2,9,4,l,1,0,0,1
speed:movement::fat:thin,speed:movement,fat:thin,1,2,3,4,l,1,0,0,1
stairs:ladder::big:small,stairs:ladder,big:small,1,2,2,4,a,2,0,0,1
study:learn::old:young,study:learn,old:young,3,2,9,4,l,1,0,0,1
study:learn::warm:cool,study:learn,warm:cool,3,2,9,4,l,1,0,0,1
tall:short::black:white,tall:short,black:white,2,2,4,4,a,1,0,0,1
tiredness:rest::dark:light,tiredness:rest,dark:light,3,2,8,4,a,2,0,0,1
tragedy:tears::rich:poor,tragedy:tears,rich:poor,3,2,7,4,a,2,0,0,1
warm:cool::hot:cold,warm:cool,hot:cold,2,2,4,4,l,2,0,0,1
anger:yell::interior:exterior,anger:yell,interior:exterior,3,2,8,5,l,1,0,0,1
bath:cleanliness::ahead:behind,bath:cleanliness,ahead:behind,3,2,7,5,l,1,0,0,1
breathe:live::forward:backward,breathe:live,forward:backward,3,2,9,5,a,2,0,0,1
car:auto::rise:sink,car:auto,rise:sink,1,2,1,5,l,1,0,0,1
car:auto::top:bottom,car:auto,top:bottom,1,2,1,5,a,2,0,0,1
chair:sofa::east:west,chair:sofa,east:west,1,2,2,5,a,2,0,0,1
danger:flee::in:out,danger:flee,in:out,3,2,8,5,a,2,0,0,1
death:population::start:finish,death:population,start:finish,1,2,3,5,l,1,0,0,1
dirtiness:bathe::front:back,dirtiness:bathe,front:back,3,2,8,5,l,1,0,0,1
east:west::front:back,east:west,front:back,2,2,5,5,a,1,0,0,1
forward:backward::climb:descend,forward:backward,climb:descend,2,2,5,5,l,2,0,0,1
forward:backward::north:south,forward:backward,north:south,2,2,5,5,a,1,0,0,1
front:back::interior:exterior,front:back,interior:exterior,2,2,5,5,l,2,0,0,1
heater:warmth::climb:descend,heater:warmth,climb:descend,3,2,7,5,a,2,0,0,1
high:low::rise:sink,high:low,rise:sink,2,2,5,5,a,1,0,0,1
high:low::up:down,high:low,up:down,2,2,5,5,l,2,0,0,1
in:out::left:right,in:out,left:right,2,2,5,5,l,2,0,0,1
interior:exterior::below:above,interior:exterior,below:above,2,2,5,5,l,2,0,0,1
interior:exterior::start:finish,interior:exterior,start:finish,2,2,5,5,a,1,0,0,1
left:right::in:out,left:right,in:out,2,2,5,5,a,1,0,0,1
north:south::ahead:behind,north:south,ahead:behind,2,2,5,5,a,1,0,0,1
north:south::east:west,north:south,east:west,2,2,5,5,a,1,0,0,1
pencil:pen::north:south,pencil:pen,north:south,1,2,2,5,l,1,0,0,1
repetition:boredom::below:above,repetition:boredom,below:above,3,2,7,5,a,2,0,0,1
rise:sink::under:over,rise:sink,under:over,2,2,5,5,a,1,0,0,1
rise:tide::left:right,rise:tide,left:right,1,2,3,5,a,2,0,0,1
run:sprint::under:over,run:sprint,under:over,1,2,1,5,a,2,0,0,1
start:finish::forward:backward,start:finish,forward:backward,2,2,5,5,l,2,0,0,1
start:finish::top:bottom,start:finish,top:bottom,2,2,5,5,l,2,0,0,1
teach:instruct::up:down,teach:instruct,up:down,1,2,1,5,a,2,0,0,1
trim:shorten::high:low,trim:shorten,high:low,3,2,9,5,a,2,0,0,1
up:down::high:low,up:down,high:low,2,2,5,5,l,2,0,0,1
acceleration:speed::enthusiastic:lazy,acceleration:speed,enthusiastic:lazy,1,2,3,6,l,1,0,0,1
anger:yell::smiling:sad,anger:yell,smiling:sad,3,2,8,6,a,2,0,0,1
big:large::low:up,big:large,low:up,1,2,1,6,a,2,0,0,1
bright:dull::day:evening,bright:dull,day:evening,2,2,6,6,a,1,0,0,1
cook:eat::day:evening,cook:eat,day:evening,3,2,9,6,l,1,0,0,1
enthusiastic:lazy::bright:dull,enthusiastic:lazy,bright:dull,2,2,6,6,l,2,0,0,1
enthusiastic:lazy::witty:dumb,enthusiastic:lazy,witty:dumb,2,2,6,6,a,1,0,0,1
explosion:damage::fun:boring,explosion:damage,fun:boring,3,2,7,6,l,1,0,0,1
fun:boring::powerful:meek,fun:boring,powerful:meek,2,2,6,6,a,1,0,0,1
fun:boring::smiling:sad,fun:boring,smiling:sad,2,2,6,6,l,2,0,0,1
good:wrong::loud:discreet,good:wrong,loud:discreet,2,2,6,6,a,1,0,0,1
heat:temperature::loud:discreet,heat:temperature,loud:discreet,1,2,3,6,l,1,0,0,1
ignite:burn::majority:small,ignite:burn,majority:small,3,2,9,6,l,1,0,0,1
inflation:price::witty:dumb,inflation:price,witty:dumb,1,2,3,6,l,1,0,0,1
joke:laughter::right:bad,joke:laughter,right:bad,3,2,7,6,a,2,0,0,1
loud:discreet::majority:small,loud:discreet,majority:small,2,2,6,6,l,2,0,0,1
low:up::funny:serious,low:up,funny:serious,2,2,6,6,a,1,0,0,1
low:up::good:wrong,low:up,good:wrong,2,2,6,6,l,2,0,0,1
majority:small::just:unfair,majority:small,just:unfair,2,2,6,6,a,1,0,0,1
make:manufacture::obey:protest,make:manufacture,obey:protest,1,2,1,6,l,1,0,0,1
obey:protest::enthusiastic:lazy,obey:protest,enthusiastic:lazy,2,2,6,6,l,2,0,0,1
obey:protest::right:bad,obey:protest,right:bad,2,2,6,6,a,1,0,0,1
option:choice::high:down,option:choice,high:down,1,2,1,6,a,2,0,0,1
powerful:meek::fun:boring,powerful:meek,fun:boring,2,2,6,6,l,2,0,0,1
read:learn::just:unfair,read:learn,just:unfair,3,2,9,6,l,1,0,0,1
repetition:boredom::good:wrong,repetition:boredom,good:wrong,3,2,7,6,a,2,0,0,1
right:bad::obey:protest,right:bad,obey:protest,2,2,6,6,a,1,0,0,1
smiling:sad::high:down,smiling:sad,high:down,2,2,6,6,l,2,0,0,1
spin:twirl::bright:dull,spin:twirl,bright:dull,1,2,1,6,l,1,0,0,1
table:desk::powerful:meek,table:desk,powerful:meek,1,2,2,6,l,1,0,0,1
thirst:drink::funny:serious,thirst:drink,funny:serious,3,2,8,6,l,1,0,0,1
witty:dumb::low:up,witty:dumb,low:up,2,2,6,6,l,2,0,0,1
accident:damage::germs:sickness,accident:damage,germs:sickness,3,3,7,7,l,2,0,0,1
ahead:behind::bath:cleanliness,ahead:behind,bath:cleanliness,2,3,5,7,l,1,0,0,1
careful:cautious::explosion:damage,careful:cautious,explosion:damage,1,3,1,7,a,2,0,0,1
careful:cautious::heater:warmth,careful:cautious,heater:warmth,1,3,1,7,l,1,0,0,1
couch:sofa::exercise:fitness,couch:sofa,exercise:fitness,1,3,1,7,a,2,0,0,1
dim:light::joke:laughter,dim:light,joke:laughter,1,3,3,7,a,2,0,0,1
disease:sickness::injury:pain,disease:sickness,injury:pain,3,3,7,7,a,1,0,0,1
exercise:fitness::repetition:boredom,exercise:fitness,repetition:boredom,3,3,7,7,a,1,0,0,1
fire:burns::heater:warmth,fire:burns,heater:warmth,3,3,7,7,a,1,0,0,1
germs:sickness::illness:discomfort,germs:sickness,illness:discomfort,3,3,7,7,l,2,0,0,1
heater:warmth::bath:cleanliness,heater:warmth,bath:cleanliness,3,3,7,7,l,2,0,0,1
illness:discomfort::explosion:damage,illness:discomfort,explosion:damage,3,3,7,7,a,1,0,0,1
illness:discomfort::stimulus:response,illness:discomfort,stimulus:response,3,3,7,7,a,1,0,0,1
injury:pain::loss:grief,injury:pain,loss:grief,3,3,7,7,l,2,0,0,1
just:unfair::injury:pain,just:unfair,injury:pain,2,3,6,7,l,1,0,0,1
left:right::tragedy:tears,left:right,tragedy:tears,2,3,5,7,l,1,0,0,1
loss:grief::accident:damage,loss:grief,accident:damage,3,3,7,7,a,1,0,0,1
loss:grief::fire:burns,loss:grief,fire:burns,3,3,7,7,l,2,0,0,1
pants:trousers::disease:sickness,pants:trousers,disease:sickness,1,3,1,7,l,1,0,0,1
rich:poor::stimulus:response,rich:poor,stimulus:response,2,3,4,7,a,2,0,0,1
smiling:sad::illness:discomfort,smiling:sad,illness:discomfort,2,3,6,7,a,2,0,0,1
stimulus:response::joke:laughter,stimulus:response,joke:laughter,3,3,7,7,a,1,0,0,1
stimulus:response::workout:sweat,stimulus:response,workout:sweat,3,3,7,7,l,2,0,0,1
sword:knife::accident:damage,sword:knife,accident:damage,1,3,2,7,a,2,0,0,1
sword:knife::workout:sweat,sword:knife,workout:sweat,1,3,2,7,a,2,0,0,1
tall:short::repetition:boredom,tall:short,repetition:boredom,2,3,4,7,a,2,0,0,1
teach:instruct::germs:sickness,teach:instruct,germs:sickness,1,3,1,7,l,1,0,0,1
tragedy:tears::exercise:fitness,tragedy:tears,exercise:fitness,3,3,7,7,a,1,0,0,1
up:down::fire:burns,up:down,fire:burns,2,3,5,7,l,1,0,0,1
witty:dumb::loss:grief,witty:dumb,loss:grief,2,3,6,7,a,2,0,0,1
workout:sweat::disease:sickness,workout:sweat,disease:sickness,3,3,7,7,a,1,0,0,1
workout:sweat::tragedy:tears,workout:sweat,tragedy:tears,3,3,7,7,l,2,0,0,1
below:above::dirtiness:bathe,below:above,dirtiness:bathe,2,3,5,8,l,1,0,0,1
day:evening::happiness:smile,day:evening,happiness:smile,2,3,6,8,l,1,0,0,1
dim:light::coldness:shiver,dim:light,coldness:shiver,1,3,3,8,a,2,0,0,1
dirtiness:bathe::hunger:eat,dirtiness:bathe,hunger:eat,3,3,8,8,a,1,0,0,1
dirty:bathe::thirst:drink,dirty:bathe,thirst:drink,3,3,8,8,a,1,0,0,1
dirty:bathe::thirsty:drink,dirty:bathe,thirsty:drink,3,3,8,8,l,2,0,0,1
dirty:clean::thirsty:drink,dirty:clean,thirsty:drink,2,3,4,8,l,1,0,0,1
fast:slow::heat:sweat,fast:slow,heat:sweat,2,3,4,8,l,1,0,0,1
fat:thin::dirty:bathe,fat:thin,dirty:bathe,2,3,4,8,l,1,0,0,1
flood:water::sadness:cry,flood:water,sadness:cry,1,3,3,8,l,1,0,0,1
fright:scream::heat:sweat,fright:scream,heat:sweat,3,3,8,8,a,1,0,0,1
fright:scream::loneliness:socialize,fright:scream,loneliness:socialize,3,3,8,8,a,1,0,0,1
funny:serious::fright:scream,funny:serious,fright:scream,2,3,6,8,l,1,0,0,1
good:wrong::nervousness:sweat,good:wrong,nervousness:sweat,2,3,6,8,a,2,0,0,1
happiness:smile::sadness:cry,happiness:smile,sadness:cry,3,3,8,8,l,2,0,0,1
heat:sweat::sickness:medicate,heat:sweat,sickness:medicate,3,3,8,8,l,2,0,0,1
hill:mountain::anger:yell,hill:mountain,anger:yell,1,3,2,8,l,1,0,0,1
hill:mountain::danger:flee,hill:mountain,danger:flee,1,3,2,8,l,1,0,0,1
hunger:eat::dirtiness:bathe,hunger:eat,dirtiness:bathe,3,3,8,8,a,1,0,0,1
hunger:eat::tiredness:rest,hunger:eat,tiredness:rest,3,3,8,8,a,1,0,0,1
in:out::loneliness:socialize,in:out,loneliness:socialize,2,3,5,8,l,1,0,0,1
inflation:price::hunger:eat,inflation:price,hunger:eat,1,3,3,8,a,2,0,0,1
loneliness:socialize::fright:scream,loneliness:socialize,fright:scream,3,3,8,8,a,1,0,0,1
loneliness:socialize::nervousness:sweat,loneliness:socialize,nervousness:sweat,3,3,8,8,l,2,0,0,1
nervousness:sweat::coldness:shiver,nervousness:sweat,coldness:shiver,3,3,8,8,a,1,0,0,1
nervousness:sweat::dirty:bathe,nervousness:sweat,dirty:bathe,3,3,8,8,l,2,0,0,1
shovel:spoon::tiredness:rest,shovel:spoon,tiredness:rest,1,3,2,8,a,2,0,0,1
sickness:medicate::danger:flee,sickness:medicate,danger:flee,3,3,8,8,l,2,0,0,1
soften:voice::thirst:drink,soften:voice,thirst:drink,1,3,3,8,a,2,0,0,1
stairs:ladder::sickness:medicate,stairs:ladder,sickness:medicate,1,3,2,8,a,2,0,0,1
thirst:drink::happiness:smile,thirst:drink,happiness:smile,3,3,8,8,l,2,0,0,1
thirsty:drink::anger:yell,thirsty:drink,anger:yell,3,3,8,8,l,2,0,0,1
advertise:promote::wash:clean,advertise:promote,wash:clean,3,3,9,9,l,2,0,0,1
ahead:behind::breathe:live,ahead:behind,breathe:live,2,3,5,9,l,1,0,0,1
bathe:clean::work:earn,bathe:clean,work:earn,3,3,9,9,l,2,0,0,1
book:magazine::exercise:healthy,book:magazine,exercise:healthy,1,3,2,9,a,2,0,0,1
burnish:shine::drink:hydrate,burnish:shine,drink:hydrate,3,3,9,9,l,2,0,0,1
burnish:shine::trim:shorten,burnish:shine,trim:shorten,3,3,9,9,a,1,0,0,1
climb:descend::work:earn,climb:descend,work:earn,2,3,5,9,l,1,0,0,1
cook:eat::exercise:healthy,cook:eat,exercise:healthy,3,3,9,9,a,1,0,0,1
cute:adorable::burnish:shine,cute:adorable,burnish:shine,1,3,1,9,l,1,0,0,1
day:evening::speak:express,day:evening,speak:express,2,3,6,9,l,1,0,0,1
discount:price::cook:eat,discount:price,cook:eat,1,3,3,9,l,1,0,0,1
drink:hydrate::bathe:clean,drink:hydrate,bathe:clean,3,3,9,9,l,2,0,0,1
exercise:healthy::breathe:live,exercise:healthy,breathe:live,3,3,9,9,a,1,0,0,1
exercise:healthy::burnish:shine,exercise:healthy,burnish:shine,3,3,9,9,l,2,0,0,1
flee:escape::read:learn,flee:escape,read:learn,3,3,9,9,l,2,0,0,1
funny:serious::wash:clean,funny:serious,wash:clean,2,3,6,9,a,2,0,0,1
heat:temperature::ignite:burn,heat:temperature,ignite:burn,1,3,3,9,l,1,0,0,1
ladder:stairs::bathe:clean,ladder:stairs,bathe:clean,1,3,2,9,a,2,0,0,1
lower:volume::flee:escape,lower:volume,flee:escape,1,3,3,9,a,2,0,0,1
rake:fork::trim:shorten,rake:fork,trim:shorten,1,3,2,9,a,2,0,0,1
read:learn::sleep:rest,read:learn,sleep:rest,3,3,9,9,l,2,0,0,1
right:bad::advertise:promote,right:bad,advertise:promote,2,3,6,9,l,1,0,0,1
run:sprint::study:learn,run:sprint,study:learn,1,3,1,9,a,2,0,0,1
sleep:rest::advertise:promote,sleep:rest,advertise:promote,3,3,9,9,a,1,0,0,1
speak:express::flee:escape,speak:express,flee:escape,3,3,9,9,l,2,0,0,1
speak:express::ignite:burn,speak:express,ignite:burn,3,3,9,9,a,1,0,0,1
trim:shorten::study:learn,trim:shorten,study:learn,3,3,9,9,a,1,0,0,1
under:over::drink:hydrate,under:over,drink:hydrate,2,3,5,9,l,1,0,0,1
under:over::sleep:rest,under:over,sleep:rest,2,3,5,9,l,1,0,0,1
warm:cool::read:learn,warm:cool,read:learn,2,3,4,9,a,2,0,0,1
wash:clean::cook:eat,wash:clean,cook:eat,3,3,9,9,l,2,0,0,1
work:earn::speak:express,work:earn,speak:express,3,3,9,9,l,2,0,0,1
